code,name,total,beer,wine,spirits,other
AFG,Afghanistan,0.01,0,0,0.01,0
ALB,Albania,4.4,1.75,1.15,1.43,0.08
DZA,Algeria,0.59,0.31,0.2,0.08,0
AND,Andorra,10.99,3.59,4.98,2.32,0
AGO,Angola,5.84,3.78,0.72,1.27,0.08
ATG,Antigua and Barbuda,11.88,2.97,3.95,4.55,0.41
ARG,Argentina,7.95,3.62,2.88,0.72,0.72
ARM,Armenia,3.77,0.52,0.46,2.78,0.01
ATA,Antartica,NaN,NaN,NaN,NaN,NaN
ATF,French Southern and Antarctic Lands,NaN,NaN,NaN,NaN,NaN
AUS,Australia,9.51,3.71,3.67,1.32,0.81
AUT,Austria,11.9,6.3,3.7,1.9,0
AZE,Azerbaijan,1.38,0.36,0.06,0.94,0.01
BHS,Bahamas,9.48,3.66,1.43,4.08,0.31
BHR,Bahrain,1.18,0.4,0.11,0.66,0.01
BGD,Bangladesh,0,0,0,0,0
BRB,Barbados,9.94,3.66,1.36,4.75,0.17
BLR,Belarus,10.57,2.26,0.98,4.67,2.66
BEL,Belgium,9.15,4.35,3.41,1.09,0.3
BLZ,Belize,5.93,3.88,0.68,1.19,0.17
BEN,Benin,1.25,0.81,0.02,0.2,0.22
BTN,Bhutan,0.07,0.01,0.05,0,0
BOL,Bolivia (Plurinational State of),2.98,2.22,0.14,0.54,0.08
BIH,Bosnia and Herzegovina,5.46,4.19,0.47,0.62,0.17
BWA,Botswana,5.98,2.93,0.46,0.96,1.64
BRA,Brazil,6.12,3.84,0.24,2,0.04
BRN,Brunei Darussalam,0.69,0.66,0.04,0,0
BGR,Bulgaria,11.18,4.44,1.72,4.96,0.06
BFA,Burkina Faso,7.28,1,0.08,0.31,5.88
BDI,Burundi,4.07,1.84,0,0,2.23
CPV,Cabo Verde,4.7,2.28,1.82,0.6,0
KHM,Cambodia,4.56,4.12,0.03,0.41,0
CMR,Cameroon,4.09,2.36,0.16,0.01,1.56
CAN,Canada,8,3.5,2,2.1,0.4
CAF,Central African Republic,0.94,0.55,0.04,0.02,0.33
TCD,Chad,0.55,0.37,0.01,0.01,0.16
CHL,Chile,7.8,2.76,2.61,2.43,0
CHN,China,4.48,1.66,0.18,2.63,0
COL,Colombia,4.09,3.09,0.06,0.92,0.02
COM,Comoros,0.18,0.04,0.07,0.07,0
COG,Congo,5.74,5.11,0.1,0.52,0.01
COK,Cook Islands,12.97,3.62,2.28,7.07,0
CRI,Costa Rica,3.07,2.17,0.15,0.36,0.39
CIV,C�te d�Ivoire,1.7,1.13,0.33,0.2,0.04
HRV,Croatia,9.64,4.75,3.52,1.37,0.36
CUB,Cuba,4.7,1.77,0.23,2.69,0.01
CYP,Cyprus,9.59,2.85,2.72,4.02,0
-99,Northern Cyprus,NaN,NaN,NaN,NaN,NaN
CZE,Czechia,12.73,6.77,2.73,3.24,0
PRK,Democratic People's Republic of Korea,3.61,0.12,0,3.48,0
COD,Democratic Republic of the Congo,0.56,0.5,0.01,0.05,0
DNK,Denmark,9.16,3.42,4.08,1.66,0
DJI,Djibouti,0.21,0.05,0.02,0.14,0
DMA,Dominica,6.32,1.64,0.29,4.39,0
DOM,Dominican Republic,5.56,3.15,0.17,2.18,0.06
ECU,Ecuador,3.05,2.32,0.09,0.61,0.03
EGY,Egypt,0.14,0.09,0.01,0.04,0
SLV,El Salvador,2.94,1.5,0.06,1.37,0
GNQ,Equatorial Guinea,6.11,3.83,1.24,0.99,0.05
ERI,Eritrea,0.93,0.42,0,0,0.51
EST,Estonia,11.65,4,1.92,4.6,1.13
SWZ,Eswatini,7.68,2.45,0.06,0,5.17
ETH,Ethiopia,1.16,0.92,0,0.2,0.03
FJI,Fiji,2.71,1.64,0.29,0.79,0
FLK,Falkland Islands,NaN,NaN,NaN,NaN,NaN
FIN,Finland,8.23,3.76,1.59,1.96,0.91
FRA,France,11.44,2.52,6.44,2.3,0.18
GAB,Gabon,6.47,5.31,0.62,0.5,0.04
GMB,Gambia,2.67,0.21,0,0.02,2.44
GEO,Georgia,7.45,1.71,3.19,2.52,0.02
DEU,Germany,10.56,5.57,3.02,1.97,0
GHA,Ghana,1.59,0.53,0.05,0.39,0.61
GRC,Greece,6.33,2.13,2.66,1.45,0.08
GRL,Greenland,NaN,NaN,NaN,NaN,NaN
GRD,Grenada,8.62,3.54,0.56,4.21,0.31
GTM,Guatemala,1.63,0.9,0.05,0.68,0.01
GIN,Guinea,0.33,0.29,0.01,0.03,0
GNB,Guinea-Bissau,3.21,0.41,0.98,0.54,1.28
GUY,Guyana,5.11,2.75,0.04,2.3,0.02
HTI,Haiti,2.85,0.55,0.03,2.26,0
HND,Honduras,2.73,1.6,0.04,1.09,0
HUN,Hungary,10.79,3.96,3.33,3.5,0
ISL,Iceland,7.72,4.39,2.11,1.22,0
IND,India,3.09,0.23,0,2.85,0
IDN,Indonesia,0.08,0.06,0.01,0.02,0
IRN,Iran (Islamic Republic of),0.02,0,0,0.02,0
IRQ,Iraq,0.16,0.11,0,0.04,0
IRL,Ireland,10.91,4.92,2.88,2.29,0.82
ISR,Israel,3.07,1.78,0.08,1.16,0.04
ITA,Italy,7.65,1.99,4.83,0.83,0
JAM,Jamaica,3.46,1.19,0.25,1.66,0.35
JPN,Japan,8.36,1.35,0.29,1.63,5.09
JOR,Jordan,0.25,0.06,0,0.19,0
KAZ,Kazakhstan,3.73,2.52,0.16,1.05,0
KEN,Kenya,1.68,0.81,0.04,0.81,0.03
KIR,Kiribati,0.43,0.26,0,0.17,0
OSA,Kosovo,NaN,NaN,NaN,NaN,NaN
KWT,Kuwait,0,0,0,0,0
KGZ,Kyrgyzstan,4.02,0.43,0.23,3.35,0
LAO,Lao People's Democratic Republic,8.15,3.62,0.07,4.46,0
LVA,Latvia,12.9,4.9,1.7,5.3,1
LBN,Lebanon,1.14,0.38,0.21,0.53,0.02
LSO,Lesotho,3.56,1.98,0.44,0.31,0.82
LBR,Liberia,3.12,0.38,0.44,2.28,0.02
LBY,Libya,0.01,0,0.01,0,0
LTU,Lithuania,11.93,4.61,0.88,4.96,1.48
LUX,Luxembourg,11,4.04,4.73,2.14,0
MDG,Madagascar,0.89,0.5,0.07,0.32,0
MWI,Malawi,2.04,0.08,0,0.25,1.7
MYS,Malaysia,0.64,0.48,0.04,0.11,0.01
MDV,Maldives,1.38,0.33,0.59,0.45,0
MLI,Mali,0.6,0.09,0,0.02,0.49
MLT,Malta,8.07,2.8,2.34,2.51,0.42
MRT,Mauritania,0,0,0,0,0
MUS,Mauritius,3.39,1.94,0.23,0.88,0.03
MEX,Mexico,4.25,3.72,0.19,0.19,0.15
FSM,Micronesia (Federated States of),1.59,0.92,0.13,0.52,0.01
MNG,Mongolia,5.46,2.18,1.46,1.82,0
MNE,Montenegro,9.91,3.83,2.68,3.22,0.16
MAR,Morocco,0.51,0.18,0.24,0.09,0
MOZ,Mozambique,1.46,1.03,0.22,0.21,0
MMR,Myanmar,2.06,0.5,0.02,1.55,0
NAM,Namibia,2.38,1.37,0.16,0.53,0.32
NRU,Nauru,2.44,0.54,0.09,1.81,0
NPL,Nepal,0.36,0.22,0,0.13,0
NLD,Netherlands,8.23,3.95,2.92,1.36,0
NCL,New Caledonia,NaN,NaN,NaN,NaN,NaN
NZL,New Zealand,9.17,3.41,2.88,1.62,1.26
NIC,Nicaragua,3.69,1.57,0.02,2.1,0
NER,Niger,0.11,0.04,0.01,0.06,0
NGA,Nigeria,4.49,0.73,0.09,0.4,3.27
NIU,Niue,8.5,4.28,1.89,2.33,0
NOR,Norway,6.05,2.63,2.23,1,0.19
OMN,Oman,0.47,0.17,0.02,0.29,0
PAK,Pakistan,0.04,0,0,0.04,0
PAN,Panama,6.54,5.29,0.02,1.2,0.02
PNG,Papua New Guinea,1.26,0.6,0.06,0.6,0
PRY,Paraguay,5.47,3.27,0.59,1.59,0.03
PER,Peru,5.74,3.01,0.46,2.26,0.01
PHL,Philippines,4.85,1.47,0.03,3.34,0.01
POL,Poland,10.96,5.72,0.88,4.36,0
PRT,Portugal,10.37,2.62,6.04,1.34,0.37
PRI,Puerto Rico,NaN,NaN,NaN,NaN,NaN
QAT,Qatar,0.96,0.29,0.07,0.59,0.01
KOR,Republic of Korea,7.74,1.72,0.15,0.22,5.66
MDA,Republic of Moldova,7.45,1.53,3.57,2.25,0.1
ROU,Romania,10.96,5.33,3.38,2.25,0
RUS,Russian Federation,7.29,3.04,0.97,3.16,0.12
RWA,Rwanda,6.35,0.23,0.03,0.09,6
KNA,Saint Kitts and Nevis,8.84,3.73,1.02,3.89,0.21
LCA,Saint Lucia,9.3,3.21,0.4,5.1,0.6
VCT,Saint Vincent and the Grenadines,7.48,2.52,0.24,4.48,0.23
WSM,Samoa,2.18,2.01,0,0.17,0
STP,Sao Tome and Principe,4.23,0.42,3.58,0.23,0
ESH,Western Sahara,NaN,NaN,NaN,NaN,NaN
SAU,Saudi Arabia,0,0,0,0,0
SEN,Senegal,0.25,0.21,0.02,0.02,0
SDS,South Sudan,NaN,NaN,NaN,NaN,NaN
ABV,Somaliland,NaN,NaN,NaN,NaN,NaN
SRB,Serbia,7.45,3.24,1.62,2.37,0.22
SYC,Seychelles,9.48,4.11,0.49,4.62,0.25
SLE,Sierra Leone,3.22,0.17,0.01,0.15,2.9
SGP,Singapore,1.81,1.26,0.27,0.24,0.04
SVK,Slovakia,10.3,4.14,2.01,4.14,0
SVN,Slovenia,11.05,4.54,5.26,1.26,0
SLB,Solomon Islands,1.19,1.1,0.06,0.02,0
SOM,Somalia,0,0,0,0,0
ZAF,South Africa,7.21,3.99,1.21,1.31,0.7
ESP,Spain,10.73,4.67,3.52,2.34,0.19
LKA,Sri Lanka,2.58,0.22,0.01,2.32,0.03
SDN,Sudan,NaN,NaN,NaN,NaN,NaN
SUR,Suriname,6.6,3.4,0.14,2.87,0.18
SWE,Sweden,7.1,2.6,3.4,1,0.1
CHE,Switzerland,9.41,3.17,4.35,1.76,0.12
SYR,Syrian Arab Republic,0.13,0.02,0,0.11,0
TJK,Tajikistan,0.85,0.38,0.01,0.45,0
TWN,Taiwan,NaN,NaN,NaN,NaN,NaN
THA,Thailand,6.86,1.85,0.23,4.78,0
MKD,North Macedonia,3.9,1.93,1.03,0.9,0.03
TLS,Timor-Leste,0.41,0.27,0.09,0.05,0
TGO,Togo,1.4,0.78,0.09,0.2,0.33
TON,Tonga,0.31,0.03,0.17,0.11,0
TTO,Trinidad and Tobago,5.81,2.92,0.16,2.65,0.09
TUN,Tunisia,1.51,0.99,0.32,0.17,0.03
TUR,Turkey,1.18,0.67,0.16,0.35,0
TKM,Turkmenistan,2.88,0.65,1.25,0.98,0
TUV,Tuvalu,0.93,0.01,0.69,0.22,0
UGA,Uganda,6.82,0.85,0.01,0.5,5.46
UKR,Ukraine,5.69,2.44,0.32,2.88,0.05
ARE,United Arab Emirates,2.03,0.21,0.14,1.65,0.02
GBR,United Kingdom of Great Britain and Northern Ireland,9.8,3.53,3.3,2.35,0.61
TZA,United Republic of Tanzania,7.81,0.74,0.09,0.38,6.6
USA,United States of America,8.93,3.97,1.67,3.29,0
URY,Uruguay,5.42,1.86,2.86,0.71,0
UZB,Uzbekistan,2.45,0.18,0.09,2.19,0
VUT,Vanuatu,1.6,0.34,0.39,0.87,0
VEN,Venezuela (Bolivarian Republic of),2.51,1.54,0.01,0.92,0.03
VNM,Viet Nam,3.41,3.18,0.02,0.21,0
PSE,West Bank,NaN,NaN,NaN,NaN,NaN
YEM,Yemen,0.02,0.02,0,0,0
ZMB,Zambia,3.82,1.26,0.04,0.36,2.16
ZWE,Zimbabwe,3.11,1.2,0.05,0.39,1.47
